cohort,genus,beta,se,z,p,irr,conf_low,conf_high,n_obs,n_colonies,converged
T1,Pocillopora,0.43838689544909965,0.04170542403000691,10.511507930807316,7.646107234214521e-26,1.5502045584997488,1.4285276012602393,1.682245531044251,550,35,TRUE
T1,Stylophora,1.5179876107784929,0.14746097436304464,10.294165065268396,7.4866227821407705e-25,4.563033350327892,3.417687323130624,6.092211307713242,604,40,TRUE
T2,Pocillopora,0.32911635837303893,0.07117257996207224,4.62420160332005,3.7604399271788588e-6,1.389739554013398,1.208787875399093,1.5977791201385902,276,31,TRUE
T2,Stylophora,2.0446365305967196,2.957235190514327,0.6914013931509835,0.4893133288424533,7.726349735755991,0.023481452076530105,2542.2823105085477,188,29,TRUE
