genus,host_species,host_species_md,beta,se,z,p,irr,conf_low,conf_high,n_obs,n_colonies,converged
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,0.4092647251330653,0.03201746581306697,12.782545861766366,2.0523958844345723e-37,1.5057102670813929,1.4141243309422113,1.6032277776337671,733,35,TRUE
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1.2192537186382053,0.17843234921464082,6.833142779348457,8.307419742759619e-12,3.384660881535416,2.385780475436586,4.801753305026825,710,40,TRUE
