genus,host_species,host_species_md,rho,p,ci_low,ci_high,n_colonies,label
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,0.8733628358357757,7.6725098063918e-12,NA,NA,35,"rho = 0.87
p < 0.001
n = 35"
Stylophora,Stylophora pistillata,*Stylophora pistillata*,0.2753728703008533,0.08546668251063935,NA,NA,40,"rho = 0.28
p = 0.085
n = 40"
