cohort,genus,rho,p,n_colonies
T1,Pocillopora,0.8139468409613522,2.747864935517659e-9,35
T1,Stylophora,0.17236945122781822,0.28752027680386655,40
T2,Pocillopora,0.46950904115586173,0.007704717182807965,31
T2,Stylophora,0.08091215685354249,0.6764997849176372,29
