coral_uid,host_species,host_species_md,cohort_label,taxon,taxon_label,n_months,n_present,total_count,occurrence,mean_abundance,intensity
6Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,6,22,0.35294117647058826,1.2941176470588236,3.6666666666666665
6Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,9,47,0.5294117647058824,2.764705882352941,5.222222222222222
6Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,3,5,0.2727272727272727,0.45454545454545453,1.6666666666666667
6Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,6,13,0.5454545454545454,1.1818181818181819,2.1666666666666665
6Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,10,40,0.5882352941176471,2.3529411764705883,4
6Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,12,64,0.7058823529411765,3.764705882352941,5.333333333333333
6Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,5,1,2,0.2,0.4,2
6Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,5,3,6,0.6,1.2,2
6Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,13,47,0.7647058823529411,2.764705882352941,3.6153846153846154
6Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,14,70,0.8235294117647058,4.117647058823529,5
6Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,6,16,0.6666666666666666,1.7777777777777777,2.6666666666666665
6Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,6,20,0.6666666666666666,2.2222222222222223,3.3333333333333335
6Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,4,5,0.23529411764705882,0.29411764705882354,1.25
6Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,5,10,0.29411764705882354,0.5882352941176471,2
6Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,2,4,0.2222222222222222,0.4444444444444444,2
6Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,4,6,0.4444444444444444,0.6666666666666666,1.5
6Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
6Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,12,25,0.7058823529411765,1.4705882352941178,2.0833333333333335
6Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,3,0,0,0,0,NA
6Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,3,2,5,0.6666666666666666,1.6666666666666667,2.5
6Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
6Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,17,27,1,1.588235294117647,1.588235294117647
6Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,4,0,0,0,0,NA
6Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,4,3,4,0.75,1,1.3333333333333333
6Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
6Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,20,0.8235294117647058,1.1764705882352942,1.4285714285714286
6Sp4_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,10,0,0,0,0,NA
6Sp4_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,10,9,16,0.9,1.6,1.7777777777777777
6Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
6Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,17,31,1,1.8235294117647058,1.8235294117647058
6Sp5_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
6Sp5_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,7,14,0.7777777777777778,1.5555555555555556,2
7Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,10,37,0.5882352941176471,2.176470588235294,3.7
7Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,11,62,0.6470588235294118,3.6470588235294117,5.636363636363637
7Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,3,6,0.3333333333333333,0.6666666666666666,2
7Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,4,10,0.4444444444444444,1.1111111111111112,2.5
7Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
7Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,12,21,0.7058823529411765,1.2352941176470589,1.75
7Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
7Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,9,17,1,1.8888888888888888,1.8888888888888888
8Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,2,2,0.11764705882352941,0.11764705882352941,1
8Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,16,29,0.9411764705882353,1.7058823529411764,1.8125
8Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,1,2,0.09090909090909091,0.18181818181818182,2
8Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,10,22,0.9090909090909091,2,2.2
8Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,1,1,0.058823529411764705,0.058823529411764705,1
8Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,11,22,0.6470588235294118,1.2941176470588236,2
8Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,0,0,0,0,NA
8Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,7,13,0.6363636363636364,1.1818181818181819,1.8571428571428572
8Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
8Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,5,7,0.29411764705882354,0.4117647058823529,1.4
8Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,1,1,0.09090909090909091,0.09090909090909091,1
8Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,8,15,0.7272727272727273,1.3636363636363635,1.875
8Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
8Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,2,2,0.11764705882352941,0.11764705882352941,1
8Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
8Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,3,5,0.3333333333333333,0.5555555555555556,1.6666666666666667
8Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
8Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,10,21,0.5882352941176471,1.2352941176470589,2.1
8Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,6,0,0,0,0,NA
8Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,6,5,10,0.8333333333333334,1.6666666666666667,2
8Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,10,1,1,0.1,0.1,1
8Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,10,6,11,0.6,1.1,1.8333333333333333
8Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,10,0,0,0,0,NA
8Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,10,8,14,0.8,1.4,1.75
8Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,6,0,0,0,0,NA
8Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,6,2,2,0.3333333333333333,0.3333333333333333,1
8Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,11,0,0,0,0,NA
8Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,11,1,2,0.09090909090909091,0.18181818181818182,2
8Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,16,0,0,0,0,NA
8Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,16,7,11,0.4375,0.6875,1.5714285714285714
8Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,2,0,0,0,0,NA
8Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,2,0,0,0,0,NA
8Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
8Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,10,19,0.5882352941176471,1.1176470588235294,1.9
8Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,11,0,0,0,0,NA
8Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,11,9,18,0.8181818181818182,1.6363636363636365,2
