coral_uid,host_species,host_species_md,taxon,taxon_label,n_observations,n_present,total_count,metric,value
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,12,5,6,Mean abundance,0.5
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,12,5,6,Intensity,1.2
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,12,0,0,Occurrence,0
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,12,0,0,Mean abundance,0
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,12,0,0,Intensity,NA
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,17,33,Occurrence,0.7391304347826086
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,17,33,Mean abundance,1.434782608695652
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,17,33,Intensity,1.9411764705882353
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,0,0,Occurrence,0
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,0,0,Mean abundance,0
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,0,0,Intensity,NA
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,13,8,16,Occurrence,0.6153846153846154
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,13,8,16,Mean abundance,1.2307692307692308
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,13,8,16,Intensity,2
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,13,0,0,Occurrence,0
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,13,0,0,Mean abundance,0
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,13,0,0,Intensity,NA
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,7,6,11,Occurrence,0.8571428571428571
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,7,6,11,Mean abundance,1.5714285714285714
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,7,6,11,Intensity,1.8333333333333333
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,7,0,0,Occurrence,0
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,7,0,0,Mean abundance,0
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,7,0,0,Intensity,NA
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,21,18,37,Occurrence,0.8571428571428571
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,21,18,37,Mean abundance,1.7619047619047619
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,21,18,37,Intensity,2.0555555555555554
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,21,0,0,Occurrence,0
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,21,0,0,Mean abundance,0
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,21,0,0,Intensity,NA
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,13,26,Occurrence,0.8125
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,13,26,Mean abundance,1.625
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,13,26,Intensity,2
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Occurrence,0
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Mean abundance,0
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Intensity,NA
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Occurrence,0
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Mean abundance,0
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Intensity,NA
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Occurrence,0
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Mean abundance,0
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Intensity,NA
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Occurrence,0
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Mean abundance,0
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,Intensity,NA
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Occurrence,0
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Mean abundance,0
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,Intensity,NA
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,7,10,Occurrence,0.4375
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,7,10,Mean abundance,0.625
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,7,10,Intensity,1.4285714285714286
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Occurrence,0
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Mean abundance,0
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,Intensity,NA
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,17,10,19,Occurrence,0.5882352941176471
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,17,10,19,Mean abundance,1.1176470588235294
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,17,10,19,Intensity,1.9
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,17,0,0,Occurrence,0
