model_id,overdispersion_ratio,zeroinflation_ratio,zeroinflation_p,singular
T1_Pocillopora,0.5502921624950294,1.0057339449541285,0.9,NA
T1_Stylophora,0.19528357593473955,0.9998657718120805,1,NA
T2_Pocillopora,0.7075037341585476,0.9068729281767957,0.216,NA
T2_Stylophora,0.027741548866973165,0.9996774193548387,1,NA
