genus,host_species,host_species_md,rho,p,n_colonies
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,0.8733628358357757,7.6725098063918e-12,35
Stylophora,Stylophora pistillata,*Stylophora pistillata*,0.2753728703008533,0.08546668251063935,40
