coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed,collector_clean,bio_colony_id,source_coral_uid,source_cohort,source_monitoring_start,source_transplantation,survey_occasion,month_bin,genus_lab
12Pd1,2007-07-01,control_unified,control,12,Pocillopora_damicornis,0,2,2,0,NA,12Pd1,Pocillopora_damicornis,1/7/2007,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,19,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,16,19,*Pocillopora favosa*
12Pd1,2007-09-01,control_unified,control,12,Pocillopora_damicornis,0,3,0,0,NA,12Pd1,Pocillopora_damicornis,1/9/2007,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,21,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,17,21,*Pocillopora favosa*
12Pd1,2007-10-01,control_unified,control,12,Pocillopora_damicornis,0,4,2,0,NA,12Pd1,Pocillopora_damicornis,1/10/2007,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,22,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,18,22,*Pocillopora favosa*
12Pd1,2007-12-01,control_unified,control,12,Pocillopora_damicornis,0,4,2,0,NA,12Pd1,Pocillopora_damicornis,1/12/2007,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,24,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,19,24,*Pocillopora favosa*
12Pd1,2008-09-01,control_unified,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd1,Pocillopora_damicornis,1/9/2008,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,33,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,20,33,*Pocillopora favosa*
12Pd1,2008-12-01,control_unified,control,12,Pocillopora_damicornis,0,2,2,2,NA,12Pd1,Pocillopora_damicornis,1/12/2008,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,36,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,21,36,*Pocillopora favosa*
12Pd1,2009-04-01,control_unified,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd1,Pocillopora_damicornis,1/4/2009,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,40,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,22,40,*Pocillopora favosa*
12Pd1,2009-09-01,control_unified,control,12,Pocillopora_damicornis,0,0,0,0,NA,12Pd1,Pocillopora_damicornis,1/9/2009,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,45,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,23,45,*Pocillopora favosa*
12Pd1,2011-11-01,control_unified,control,12,Pocillopora_damicornis,0,0,0,0,NA,12Pd1,Pocillopora_damicornis,1/11/2011,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,71,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,26,71,*Pocillopora favosa*
12Pd1,2012-03-01,control_unified,control,12,Pocillopora_damicornis,1,0,0,0,NA,12Pd1,Pocillopora_damicornis,1/3/2012,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,75,FALSE,TRUE,NA,12Pd1,12Pd1_control_T2,T2,2007-06-01,control_T2,27,75,*Pocillopora favosa*
