cohort,genus,n,n_colonies,n_T1,n_T0,pA_given_T,pA_given_notT,RR,OR,logOR,species,cohort_label,p_perm,logOR_obs,p_perm_display
T1,Pocillopora,550,35,341,209,0.31085043988269795,0.03827751196172249,8.120967741935484,10.720494567253652,2.372157289583474,*Pocillopora favosa*,N1,0,2.372157289583474,<1e-04
T1,Stylophora,604,40,408,196,0.0196078431372549,0,NA,8.340823970037453,2.121162008857118,*Stylophora pistillata*,N1,0.0272,2.121162008857118,0.0272
T2,Pocillopora,276,31,205,71,0.4195121951219512,0.1267605633802817,3.3094850948509484,4.762166923585114,1.560702800702129,*Pocillopora favosa*,N2,8e-4,1.560702800702129,8e-04
T2,Stylophora,188,29,144,44,0.013888888888888888,0,NA,1.5614035087719298,0.44558510189758965,*Stylophora pistillata*,N2,1,0.44558510189758965,1
