genus,host_species,host_species_md,logOR_obs,p_perm,n,n_colonies
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,2.134080681753233,0,733,35
Stylophora,Stylophora pistillata,*Stylophora pistillata*,2.2655929041999765,0.0154,710,40
