genus,genus_label,rho,p,ci_low,ci_high,n_colonies,dataset
Pocillopora,*Pocillopora favosa*,0.7561713417573277,2.121222615330961e-13,NA,NA,66,Combined
Stylophora,*Stylophora pistillata*,0.12456214367426656,0.3078392016253572,NA,NA,69,Combined
